,dataset,embed_model,fm,fold,framework,model_name,prec,rec,vector_name,ds_size
3,EN-FR(V2),MultiKE,0.9760824503167264,1,EAGER MLP,MLP,0.990628769823756,0.9619571428571428,SimAndEmb,100K
48,EN-FR(V2),MultiKE,0.9761327007352142,1,EAGER RF,RF,0.9900815516861362,0.9625714285714284,SimAndEmb,100K
3,EN-FR(V2),MultiKE,0.9713240758280028,2,EAGER MLP,MLP,0.9911237324927891,0.9523,SimAndEmb,100K
48,EN-FR(V2),MultiKE,0.973592621595754,2,EAGER RF,RF,0.9885299487602331,0.9591,SimAndEmb,100K
3,EN-FR(V2),MultiKE,0.9785594251608044,3,EAGER MLP,MLP,0.9925355589514516,0.9649714285714286,SimAndEmb,100K
48,EN-FR(V2),MultiKE,0.9737090428697937,3,EAGER RF,RF,0.989758876132574,0.9581714285714286,SimAndEmb,100K
3,EN-FR(V2),MultiKE,0.9636053119755014,4,EAGER MLP,MLP,0.9940161594070834,0.935,SimAndEmb,100K
48,EN-FR(V2),MultiKE,0.973075695592886,4,EAGER RF,RF,0.9883597571756941,0.9582571428571428,SimAndEmb,100K
3,EN-FR(V2),MultiKE,0.9745770693714906,5,EAGER MLP,MLP,0.9887247335538404,0.9608285714285716,SimAndEmb,100K
48,EN-FR(V2),MultiKE,0.9752285205197664,5,EAGER RF,RF,0.9891128676794688,0.9617285714285714,SimAndEmb,100K
0,D-W(V1),,0.8758193969726562,1,DeepMatcher,,0.8442774963378906,0.9098094940185548,,15K
1,D-W(V1),,0.878628158569336,2,DeepMatcher,,0.8535380554199219,0.9052381134033205,,15K
2,D-W(V1),,0.8736518859863281,3,DeepMatcher,,0.8431216430664062,0.9064762115478515,,15K
3,D-W(V1),,0.8742565155029297,4,DeepMatcher,,0.86664794921875,0.8819999694824219,,15K
4,D-W(V1),,0.8758714294433594,5,DeepMatcher,,0.8608480072021485,0.8914286041259766,,15K
5,D-W(V2),,0.9037762451171877,1,DeepMatcher,,0.8948744201660156,0.9128571319580078,,15K
6,D-W(V2),,0.9007308959960938,2,DeepMatcher,,0.8921064758300781,0.9095237731933594,,15K
7,D-W(V2),,0.9066915893554688,3,DeepMatcher,,0.8882595062255859,0.925904769897461,,15K
8,D-W(V2),,0.9074295043945313,4,DeepMatcher,,0.9069546508789063,0.9079047393798828,,15K
9,D-W(V2),,0.9029678344726563,5,DeepMatcher,,0.8920174407958984,0.9141904449462891,,15K
10,D-W(V1),,0.925677490234375,1,DeepMatcher,,0.9067479705810548,0.9454142761230468,,100K
11,D-W(V1),,0.925413589477539,2,DeepMatcher,,0.9008345794677735,0.9513714599609376,,100K
12,D-W(V1),,0.925177001953125,3,DeepMatcher,,0.91114990234375,0.9396428680419922,,100K
13,D-W(V1),,0.9243318176269532,4,DeepMatcher,,0.9019589233398437,0.9478428649902344,,100K
14,D-W(V1),,0.9233920288085937,5,DeepMatcher,,0.9041757965087891,0.943442840576172,,100K
15,D-W(V2),,0.9361323547363279,1,DeepMatcher,,0.924042510986328,0.9485428619384766,,100K
16,D-W(V2),,0.9072644805908204,2,DeepMatcher,,0.8779161071777344,0.9386428833007813,,100K
17,D-W(V2),,0.9347061920166015,3,DeepMatcher,,0.9133493041992188,0.9570857238769531,,100K
18,D-W(V2),,0.9339369201660156,4,DeepMatcher,,0.9139138031005859,0.954857177734375,,100K
19,D-W(V2),,0.9334493255615235,5,DeepMatcher,,0.9315633392333984,0.9353428649902343,,100K
20,D-Y(V1),,0.9787173461914063,1,DeepMatcher,,0.9742379760742188,0.9832380676269531,,15K
21,D-Y(V1),,0.9807483673095705,2,DeepMatcher,,0.9742505645751952,0.9873332977294922,,15K
22,D-Y(V1),,0.9789353942871094,3,DeepMatcher,,0.9753261566162109,0.9825714111328123,,15K
23,D-Y(V1),,0.9803921508789063,4,DeepMatcher,,0.9774684906005859,0.9833333587646484,,15K
24,D-Y(V1),,0.9807846832275391,5,DeepMatcher,,0.9772147369384766,0.9843809509277344,,15K
25,D-Y(V2),,0.9862062835693359,1,DeepMatcher,,0.9850817108154295,0.9873332977294922,,15K
26,D-Y(V2),,0.9879495239257813,2,DeepMatcher,,0.9843070220947265,0.9916190338134766,,15K
27,D-Y(V2),,0.9872829437255859,3,DeepMatcher,,0.9838282775878906,0.9907618713378906,,15K
28,D-Y(V2),,0.98661865234375,4,DeepMatcher,,0.9831662750244141,0.99009521484375,,15K
29,D-Y(V2),,0.9866730499267579,5,DeepMatcher,,0.9827114105224609,0.9906666564941407,,15K
30,D-Y(V1),,0.9921395111083985,1,DeepMatcher,,0.989875030517578,0.9944142913818359,,100K
31,D-Y(V1),,0.992195053100586,2,DeepMatcher,,0.991904754638672,0.9924857330322265,,100K
32,D-Y(V1),,0.9916654205322266,3,DeepMatcher,,0.9898375701904295,0.9934999847412109,,100K
33,D-Y(V1),,0.9917341613769531,4,DeepMatcher,,0.9919254302978515,0.9915428924560549,,100K
34,D-Y(V1),,0.9918147277832031,5,DeepMatcher,,0.9900358581542968,0.9936000061035156,,100K
35,D-Y(V2),,0.993333740234375,1,DeepMatcher,,0.9925685882568359,0.9941000366210937,,100K
36,D-Y(V2),,0.9923495483398438,2,DeepMatcher,,0.9896425628662109,0.9950714111328124,,100K
37,D-Y(V2),,0.9938869476318359,3,DeepMatcher,,0.992534637451172,0.9952428436279296,,100K
38,D-Y(V2),,0.9932903289794922,4,DeepMatcher,,0.9915581512451171,0.9950285339355469,,100K
39,D-Y(V2),,0.9929085540771484,5,DeepMatcher,,0.9927171325683594,0.9930999755859377,,100K
40,EN-DE(V1),,0.9707528686523438,1,DeepMatcher,,0.9758444976806641,0.9657142639160157,,15K
41,EN-DE(V1),,0.9688294982910156,2,DeepMatcher,,0.9772309112548828,0.9605714416503907,,15K
42,EN-DE(V1),,0.9655369567871094,3,DeepMatcher,,0.9665044403076172,0.9645714569091796,,15K
43,EN-DE(V1),,0.9675377655029296,4,DeepMatcher,,0.9743119049072265,0.960857162475586,,15K
44,EN-DE(V1),,0.9660348510742187,5,DeepMatcher,,0.9637001037597657,0.9683809661865235,,15K
45,EN-DE(V2),,0.974157943725586,1,DeepMatcher,,0.9665322875976563,0.981904754638672,,15K
46,EN-DE(V2),,0.9744002532958984,2,DeepMatcher,,0.9700774383544922,0.9787619018554687,,15K
47,EN-DE(V2),,0.9779450225830079,3,DeepMatcher,,0.9782712554931641,0.9776190185546877,,15K
48,EN-DE(V2),,0.9754051971435548,4,DeepMatcher,,0.976335906982422,0.9744761657714843,,15K
49,EN-DE(V2),,0.9729884338378906,5,DeepMatcher,,0.97340576171875,0.9725714111328123,,15K
50,EN-DE(V1),,0.971658935546875,1,DeepMatcher,,0.9708621215820312,0.9724571228027343,,100K
51,EN-DE(V1),,0.972505111694336,2,DeepMatcher,,0.9715691375732421,0.973442840576172,,100K
52,EN-DE(V1),,0.9715690612792969,3,DeepMatcher,,0.980351104736328,0.9629428863525391,,100K
53,EN-DE(V1),,0.9741541290283204,4,DeepMatcher,,0.9729255676269531,0.9753857421875,,100K
54,EN-DE(V1),,0.9723487091064452,5,DeepMatcher,,0.97466552734375,0.9700428771972657,,100K
55,EN-DE(V2),,0.9749191284179688,1,DeepMatcher,,0.9717022705078123,0.9781571197509765,,100K
56,EN-DE(V2),,0.9781273651123048,2,DeepMatcher,,0.9756388854980469,0.9806285858154296,,100K
57,EN-DE(V2),,0.976495361328125,3,DeepMatcher,,0.9752083587646484,0.9777857208251952,,100K
58,EN-DE(V2),,0.9786013031005859,4,DeepMatcher,,0.9759455871582031,0.9812714385986329,,100K
59,EN-DE(V2),,0.9791372680664062,5,DeepMatcher,,0.9767292785644531,0.9815571594238279,,100K
60,EN-FR(V1),,0.9556288146972656,1,DeepMatcher,,0.9585129547119141,0.9527619171142578,,15K
