,dataset,framework,metric,value
156,imdb-tvdb,Magellan RF,fm,0.9916976810764389
157,imdb-tvdb,Magellan XGBoost,fm,0.9951135383730956
158,imdb-tvdb,Magellan RF,fm,0.9959793222286042
159,imdb-tvdb,Magellan XGBoost,fm,0.9930994824611844
160,imdb-tvdb,Magellan RF,fm,0.9956958393113342
161,imdb-tvdb,Magellan XGBoost,fm,0.9971313826735512
162,imdb-tvdb,Magellan RF,fm,0.9968436154949786
163,imdb-tvdb,Magellan XGBoost,fm,0.9931350114416476
164,imdb-tvdb,Magellan RF,fm,0.997134670487106
165,abt-buy,EAGER MLP,fm,0.975195822454308
166,abt-buy,EAGER RF,fm,0.9758957654723128
167,abt-buy,EAGER MLP,fm,0.9696569920844328
168,abt-buy,EAGER RF,fm,0.9765929778933679
169,abt-buy,EAGER MLP,fm,0.9699738903394256
170,abt-buy,EAGER RF,fm,0.9739583333333334
171,abt-buy,EAGER MLP,fm,0.9727272727272728
172,abt-buy,EAGER RF,fm,0.9686274509803922
173,abt-buy,EAGER MLP,fm,0.9722589167767504
174,abt-buy,EAGER RF,fm,0.9664694280078896
175,amazon-google,EAGER MLP,fm,0.9760712298274902
176,amazon-google,EAGER RF,fm,0.9747252747252748
177,amazon-google,EAGER MLP,fm,0.9722838137472284
178,amazon-google,EAGER RF,fm,0.9781181619256016
179,amazon-google,EAGER MLP,fm,0.9819178082191781
180,amazon-google,EAGER RF,fm,0.9775342465753424
181,amazon-google,EAGER MLP,fm,0.9715242881072028
182,amazon-google,EAGER RF,fm,0.9800884955752212
183,amazon-google,EAGER MLP,fm,0.9771077610273592
184,amazon-google,EAGER RF,fm,0.9784172661870504
185,dblp-scholar,EAGER MLP,fm,0.995985010706638
186,dblp-scholar,EAGER RF,fm,0.9975922953451044
187,dblp-scholar,EAGER MLP,fm,0.992883040150396
188,dblp-scholar,EAGER RF,fm,0.9973240567299974
189,dblp-scholar,EAGER MLP,fm,0.9949197860962566
190,dblp-scholar,EAGER RF,fm,0.997460232589226
191,dblp-scholar,EAGER MLP,fm,0.9925133689839574
192,dblp-scholar,EAGER RF,fm,0.9978621058257616
193,dblp-scholar,EAGER MLP,fm,0.9935622317596566
194,dblp-scholar,EAGER RF,fm,0.9961152042866712
195,dblp-acm,EAGER MLP,fm,0.997748472177549
196,dblp-acm,EAGER RF,fm,0.9987146529562982
